id,lon,lat,date,day_of_week,month_name
11,2.1767130904575014,41.41290824078719,2019-10-10,Thursday,October
11,2.176475514129505,41.412771428396404,2019-08-07,Wednesday,August
11,2.1762776294407487,41.41264991215167,2019-04-26,Friday,April
12,2.176595723932872,41.412727251412704,2019-10-19,Saturday,October
12,2.1763581485084202,41.412590438783646,2019-03-22,Friday,March
11,2.1761200050568528,41.41249865896286,2019-06-30,Sunday,June
12,2.176239645644251,41.412499515640384,2019-09-02,Monday,September
11,2.176001502693511,41.41240773557747,2019-08-23,Friday,August
13,2.17639379431504,41.41247488358819,2019-10-12,Saturday,October
11,2.175883000660605,41.41231681207165,2019-06-02,Sunday,June
15,2.1765214612004415,41.41229135867991,2019-12-02,Monday,December
11,2.175764498958132,41.412225888445384,2019-03-15,Friday,March
13,2.1761234192023364,41.41222845920001,2019-04-15,Monday,April
11,2.1755861776351133,41.41213453606991,2019-02-05,Tuesday,February
12,2.1759692710194343,41.41225309089543,2019-04-09,Tuesday,April
13,2.176004917319128,41.412137535818395,2019-10-05,Saturday,October
15,2.17636383709872,41.412140105818594,2019-07-01,Monday,July
11,2.1742114597963207,41.41203460247628,2019-01-07,Monday,January
11,2.175228397228508,41.412041897072434,2019-08-28,Wednesday,August
15,2.176245335034781,41.41204918268161,2019-02-13,Wednesday,February
12,2.1743322399808123,41.411945394577636,2019-08-03,Saturday,August
11,2.174810798085674,41.41194882793991,2019-04-05,Friday,April
13,2.1757673452829245,41.41200072198668,2019-12-24,Tuesday,December
14,2.1761513967788866,41.41211856819244,2019-07-02,Tuesday,July
15,2.176126833301271,41.41195825942421,2019-03-02,Saturday,March
13,2.174333380481647,41.41185532802332,2019-06-13,Thursday,June
12,2.175191676513081,41.41193518186174,2019-05-25,Saturday,May
14,2.1743345209772986,41.411765261467544,2019-02-10,Sunday,February
13,2.175118316010359,41.41181091687786,2019-01-10,Thursday,January
15,2.174335661467767,41.411675194910345,2019-06-15,Saturday,June
14,2.175272074488107,41.411741961032845,2019-09-30,Monday,September
15,2.175427510115413,41.41167176596272,2019-10-24,Thursday,October
20,2.177304478444187,41.41146813309003,2019-04-01,Monday,April
19,2.1772855823091626,41.41144426907187,2019-11-21,Thursday,November
13,2.172260282626378,41.41106815169888,2019-09-11,Wednesday,September
12,2.172048833099777,41.41116635233493,2019-04-06,Saturday,April
15,2.1725544738644977,41.41126439388204,2019-09-15,Sunday,September
14,2.1724213304850952,41.411260020878814,2019-06-03,Monday,June
21,2.173952286016411,41.410697210625315,2019-10-04,Friday,October
14,2.186111037185715,41.41070204335466,2019-05-17,Friday,May
12,2.2188335864067357,41.41100110664122,2019-08-25,Sunday,August
20,2.173970365469474,41.41067356195356,2019-05-23,Thursday,May
15,2.1725356648632843,41.410203052345445,2019-01-07,Monday,January
14,2.172440870288941,41.410130310732384,2019-07-20,Saturday,July
19,2.1741011534184054,41.41071853557229,2019-03-14,Thursday,March
15,2.1728009212431947,41.41004282520077,2019-08-29,Thursday,August
15,2.172921699599244,41.40995361873597,2019-08-08,Thursday,August
18,2.175819218630442,41.41107652324795,2019-04-03,Wednesday,April
12,2.1724442993943835,41.40986011110854,2019-01-31,Thursday,January
16,2.173281748953447,41.409866131681866,2019-10-09,Wednesday,October
11,2.1718841124222448,41.411051516975945,2019-10-31,Thursday,October
11,2.2187056876313216,41.41082232973141,2019-08-02,Friday,August
14,2.1728026350505822,41.409907725376115,2019-06-14,Friday,June
15,2.173223073070351,41.40977563528127,2019-06-30,Sunday,June
17,2.1758797059248423,41.41107232481623,2019-05-12,Sunday,May
12,2.1728060626303085,41.4096375257171,2019-03-24,Sunday,March
13,2.1728043488462867,41.409772625548236,2019-09-30,Monday,September
16,2.175944412756125,41.411076222104654,2019-09-02,Monday,September
14,2.173164397348558,41.40968513885083,2019-07-08,Monday,July
11,2.1726869987385333,41.40959163224118,2019-08-25,Sunday,August
14,2.17719333907669,41.41078211967237,2019-09-04,Wednesday,September
15,2.177190646802976,41.41089124630789,2019-03-23,Saturday,March
11,2.1728077764026477,41.40950242588273,2019-04-29,Monday,April
12,2.173167823402602,41.409414939156655,2019-05-16,Thursday,May
11,2.177583576143125,41.408813658161336,2019-04-02,Tuesday,April
13,2.146639195753939,41.407860793282296,2019-11-28,Thursday,November
19,2.1848349640967113,41.407913305723454,2019-07-21,Sunday,July
14,2.159277793165354,41.40749395092001,2019-10-03,Thursday,October
